field_id, land, temperature, humidity, rainfall, budget, soil_type, ph, water_requirement, suggested_crop, suggested_fertilizers, suggested_pesticides, potential_diseases, nitrogen, phosphorus, potassium, estimated_yield
1	10	25	60	500	5000	Sandy	6.5	20	Rice	Ammonium Nitrate	Malathion	Blast	130	65	95	5
2	15	28	55	600	7000	Clay	7	25	Wheat	Urea	Chlorpyrifos	Rust	120	60	90	7
3	20	22	65	450	6000	Loam	6	18	Corn	Ammonium Nitrate	Malathion	Maize Lethal Necrosis	150	75	100	6
4	12	27	58	550	6500	Sandy	6.8	22	Rice	DAP	Imidacloprid	Blast	130	65	95	6
5	18	24	62	480	6200	Clay	7.2	24	Soybean	Potassium Nitrate	Metomil	Asian Soybean Rust	140	70	105	8
6	14	26	63	520	6800	Loam	6.7	21	Tomatoes	Calcium Nitrate	Diazinon	Bacterial Spot	135	68	98	7
7	22	23	61	470	7200	Sandy	6.6	19	Onions	Ammonium Sulfate	Thiodicarb	Downy Mildew	145	72	102	6
8	16	29	57	610	7500	Clay	7.1	26	Barley	Urea	Chlorpyrifos	Rust	125	62	92	7
9	13	21	64	460	6300	Loam	6.4	17	Potatoes	Ammonium Nitrate	Malathion	Late Blight	155	77	104	5
10	19	25	60	510	6700	Sandy	6.9	23	Peanuts	DAP	Imidacloprid	Blight	132	66	96	6
11	17	27	59	560	7100	Clay	7.3	27	Sugarcane	Potassium Nitrate	Metomil	Red Rot	142	71	106	8
12	21	24	62	490	6900	Loam	6.5	20	Cotton	Calcium Nitrate	Diazinon	Verticillium Wilt	137	69	99	7
13	15	28	56	620	7300	Sandy	6.7	21	Sunflowers	Ammonium Sulfate	Thiodicarb	Downy Mildew	147	73	103	6
14	18	23	63	475	6400	Clay	7.2	25	Oats	Urea	Chlorpyrifos	Rust	127	63	93	7
15	16	22	65	455	6100	Loam	6.3	18	Carrots	Ammonium Nitrate	Malathion	Root Rot	157	78	105	5
16	20	26	61	530	6600	Sandy	6.8	22	Beans	DAP	Imidacloprid	Blight	133	67	97	6
17	19	25	60	505	6800	Clay	7.1	24	Soybean	Potassium Nitrate	Metomil	Asian Soybean Rust	143	72	107	8
18	14	27	58	540	7000	Loam	6.6	21	Tomatoes	Calcium Nitrate	Diazinon	Bacterial Spot	138	68	98	7
19	22	23	61	465	7400	Sandy	6.5	19	Onions	Ammonium Sulfate	Thiodicarb	Downy Mildew	148	74	102	6
